encoder2.conv,encoder_fc_part19,encoder_fc_part22,encoder_fc_part8,encoder_fc_part11,encoder_fc_part5,encoder_fc_part1,encoder_fc_part7,encoder1.conv3x3_bn.conv,encoder_fc_part14,encoder_fc_part10,encoder_fc_part20,encoder_fc_part0,encoder_fc_part15,encoder_fc_part29,encoder_fc_part13,encoder_fc_part6,encoder_fc_part23,encoder_fc_part28,encoder_fc_part16,encoder_fc_part3,encoder_fc_part2,encoder_fc_part18,encoder_fc_part4,encoder_fc_part27,encoder_fc_part25,encoder_fc_part17,encoder_fc_part9,encoder_fc_part21,encoder_fc_part26,encoder_fc_part24,encoder_fc_part31,encoder_fc_part12,encoder_fc_part30,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,16,16,8,88.0,88.08606712131267,0.002489976794968289,-12.920907655029122,-12.91798924902106
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,16,88.2,88.28113676758893,0.003387716739901752,-12.917445239726224,-12.914279403159682
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,8,88.1,88.28135131320991,0.0033878237276357193,-12.917404688943941,-12.914279403159682
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,8,88.3,88.47663550510714,0.004407651066497724,-12.915387715196749,-12.912131697111937
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,8,88.4,88.47663550510714,0.004407651066497724,-12.915387715196749,-12.912131697111937
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,16,16,8,88.5,88.67191969700437,0.005475313037990729,-12.912999455867613,-12.90902512891856
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,16,16,8,88.6,88.67191969700437,0.005468617397007015,-12.912114604356702,-12.90902512891856
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,8,88.7,88.8672038889016,0.00653627936850002,-12.90975414460306,-12.906696434921951
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,8,88.8,88.8672038889016,0.00653627936850002,-12.90975414460306,-12.906696434921951
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,16,16,8,88.9,89.06248808079884,0.00762419673812246,-12.908053548718684,-12.904937084368575
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,16,16,8,89.0,89.06248808079884,0.007641835736698335,-12.906800016063453,-12.904937084368575
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.1,89.25777227269607,0.008729753106320777,-12.905160329745202,-12.901791450710494
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.2,89.25777227269607,0.008729753106320777,-12.905160329745202,-12.901791450710494
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.3,89.45305646459329,0.009931973228530974,-12.903582244624367,-12.898329995828801
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.4,89.45305646459329,0.009900184155035041,-12.901339067482043,-12.898329995828801
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,16,89.5,89.64812611086955,0.011102297289511271,-12.899805405527847,-12.895601885961486
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.6,89.64834065649053,0.011103402964674028,-12.898702061853587,-12.895601885961486
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.7,89.84362484838776,0.012305623086884229,-12.897075519801223,-12.893791468314944
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.8,89.84362484838776,0.012305623086884229,-12.897075519801223,-12.893791468314944
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,89.9,90.03890904028499,0.013561257648802302,-12.89480459612665,-12.891586118103572
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.0,90.03890904028499,0.013561257648802302,-12.89480459612665,-12.891586118103572
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.1,90.23419323218222,0.014846226211792038,-12.892945504221364,-12.889622236370585
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.2,90.23419323218222,0.014846226211792038,-12.892945504221364,-12.889622236370585
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,16,16,8,90.3,90.42947742407945,0.016155648950859202,-12.891450971156655,-12.886298669366967
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.4,90.42947742407945,0.016145429816723452,-12.88953492126499,-12.886298669366967
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.5,90.6247616159767,0.01745485255579062,-12.887821486963453,-12.884840343011382
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.6,90.6247616159767,0.01745485255579062,-12.887821486963453,-12.884840343011382
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.7,90.82004580787391,0.01880018128097174,-12.886506208801542,-12.883531843234017
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.8,90.82004580787391,0.01880018128097174,-12.886506208801542,-12.883531843234017
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,90.9,91.01532999977115,0.020177477869214134,-12.884808214727972,-12.88115799721086
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.0,91.01532999977115,0.020200609496558147,-12.884808214727972,-12.88115799721086
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.1,91.21061419166838,0.021577906084800532,-12.882527016909943,-12.879832993282974
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.2,91.21061419166838,0.02160404267780641,-12.88168961520811,-12.879832993282974
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.3,91.40589838356561,0.02300447089339281,-12.880025993638268,-12.877076546994877
16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.4,91.40589838356561,0.02300447089339281,-12.880025993638268,-12.877076546994877
16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.5,91.60118257546284,0.024467279078514696,-12.877652620465824,-12.874747821073244
16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.6,91.60118257546284,0.024467279078514696,-12.877652620465824,-12.874747821073244
16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,91.7,91.79646676736007,0.02601884038817821,-12.874014173449318,-12.873300322694238
16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,91.8,91.99175095925732,0.027896593897784996,-12.874014173449318,-12.871421262223762
16,16,16,16,16,16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,91.9,91.99175095925732,0.027897404527931723,-12.871776528680721,-12.871421262223762
16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.0,92.18703515115453,0.02978648011692831,-12.871730691020435,-12.869211803800543
16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.1,92.18703515115453,0.02978648011692831,-12.871730691020435,-12.869211803800543
16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,92.2,92.38231934305178,0.031750112298798164,-12.869339857658899,-12.866282238382286
16,16,16,16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,92.3,92.38231934305178,0.031750112298798164,-12.869339857658899,-12.866282238382286
16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,92.4,92.577603534949,0.03371358983976962,-12.86875426545459,-12.865969031499011
16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.5,92.577603534949,0.033712779209622894,-12.86875426545459,-12.865969031499011
16,16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,92.6,92.77288772684625,0.03589970044747684,-12.867163703445474,-12.864620292917033
16,16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.7,92.77288772684625,0.03589888981733012,-12.867163703445474,-12.864620292917033
16,16,16,16,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.8,92.96817191874347,0.03815265347346472,-12.865935058713625,-12.863299531133963
16,16,8,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,92.9,92.96817191874347,0.03813620546876006,-12.865935058713625,-12.863299531133963
16,16,8,16,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,93.0,93.1634561106407,0.04038996912489466,-12.863746729816265,-12.86052259684565
16,16,8,16,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,93.1,93.1634561106407,0.040390779755041385,-12.860943601133009,-12.86052259684565
16,16,8,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,93.2,93.35874030253794,0.04270714455070504,-12.859405317890975,-12.858136735854968
16,16,8,8,8,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,93.3,93.35874030253794,0.04269243581161617,-12.858514533630508,-12.858136735854968
16,16,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,8,93.4,93.55402449443517,0.045008800607279825,-12.856902970614588,-12.853882826657445
16,16,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,93.5,93.55402449443517,0.04500961123742655,-12.854348050428854,-12.853882826657445
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,93.7,93.7493086863324,0.05211123999772794,-12.846797319456464,-12.846450657046926
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,93.6,93.74952323195338,0.05211134698546191,-12.846450657046926,-12.846450657046926
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,16,8,8,93.8,93.84716532790199,0.2662491046135212,-12.426547359736915,-12.426983643100698
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,4,16,16,8,93.9,93.94459287822963,0.5125624547593839,-12.011713545943348,-12.012444312842437
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,16,16,8,94.0,94.04223497417824,0.7673040213030182,-11.652606464746999,-11.65436955098019
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,16,16,8,94.1,94.13987707012686,1.024487858799362,-11.287677390390709,-11.282031400128055
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,16,8,8,94.2,94.23773371169646,1.3140569663963937,-10.906547743660102,-10.909001120589906
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,16,16,8,94.3,94.33516126202409,1.6169776069745982,-10.68937748130024,-10.637376186017935
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,16,16,8,94.4,94.4328033579727,1.9252566441201189,-10.448497027612284,-10.450978838779077
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,16,16,8,94.5,94.53044545392132,2.2380023497090367,-10.251416628662673,-10.254030606106511
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,16,16,8,94.6,94.62808754986993,2.5530840164297337,-9.987440600364,-9.9906623114473
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,4,8,8,8,8,8,4,4,4,4,4,4,4,4,4,16,16,8,94.7,94.72572964581856,2.890239005535294,-9.818110652764075,-9.810449791794005
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,4,4,8,8,8,8,4,4,4,4,4,4,4,4,4,16,16,8,94.8,94.82337174176718,3.235267799778796,-9.681687251054786,-9.674228942567865
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,4,4,8,4,8,8,4,4,4,4,4,4,4,4,4,16,16,8,94.9,94.92101383771579,3.5808844706489578,-9.4853367174963,-9.452537122009897
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,4,4,8,4,4,8,4,4,4,4,4,4,4,4,4,16,16,8,95.0,95.01865593366439,3.9410360375747495,-9.227759667996088,-9.231486006580758
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,4,8,4,4,8,4,4,8,4,4,4,4,4,4,4,4,4,16,16,8,95.1,95.116298029613,4.314451970429316,-9.05986381381513,-9.05986381381513
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,4,4,4,4,8,4,4,8,4,4,4,4,4,4,4,4,4,16,16,8,95.2,95.21394012556163,4.691604064966357,-8.853978638281536,-8.844380468934402
16,8,8,8,8,8,8,8,16,8,8,8,8,8,8,8,8,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,16,16,8,95.3,95.31158222151025,5.06913821850327,-8.68613303288057,-8.690255109353743
16,8,8,8,8,8,8,8,16,8,8,8,8,4,8,8,8,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,16,16,8,95.4,95.40922431745886,5.454496619838326,-8.503800118651071,-8.508168753532834
16,8,8,8,8,8,8,8,16,8,8,8,8,4,8,8,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,16,16,8,95.5,95.50686641340748,5.851999698691141,-8.404087617366024,-8.397277185170578
16,8,8,8,8,8,8,8,16,8,8,8,8,4,8,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,16,16,8,95.6,95.6045085093561,6.252224960867267,-8.332933717337326,-8.336896629063284
16,8,8,8,8,8,8,8,16,8,8,8,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,16,8,95.7,95.70215060530471,6.663166876830924,-8.093334747898234,-8.097000896878262
16,8,8,8,8,8,8,8,16,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,95.8,95.8000072468743,7.0844310317345185,-7.925973381266221,-7.925973381266221
16,8,8,8,8,8,8,8,16,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,95.9,95.99529143877155,8.071454528694339,-7.711043469005942,-7.726307212999313
16,8,8,8,8,8,8,8,16,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.0,96.09293353472016,8.616997334099928,-7.635420075638826,-7.650012320957686
16,8,8,8,8,8,8,8,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.1,96.19057563066877,9.175510217968414,-7.448575019961336,-7.464216671381801
16,8,8,8,8,8,8,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.2,96.28821772661739,9.735914631589802,-7.3235096710971845,-7.33961061436802
16,8,8,8,8,8,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.3,96.385859822566,10.368265861361962,-7.228521381562621,-7.244635183228817
16,8,4,8,8,8,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.4,96.48350191851462,11.00886786501226,-7.082820878276744,-7.097590895681783
16,8,4,8,4,8,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.5,96.58114401446323,11.654719482045024,-6.8926027465114625,-6.9088896915902485
16,8,4,8,4,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.6,96.67878611041185,12.318988005550182,-6.764604695275392,-6.768199672012946
16,8,4,4,4,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,8,96.7,96.77642820636046,12.984712118352045,-6.574014902507902,-6.589444035668352
16,4,4,4,4,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,16,4,96.8,96.87401070630327,15.003024519461247,-5.106028610225323,-5.17407134378813
16,4,4,4,4,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,8,16,4,96.9,96.92283175427757,18.95091599042229,-4.774438738246702,-4.774676533619516
16,4,4,4,4,4,4,4,16,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,8,16,4,97.0,97.02047385022617,28.05253571889882,-4.027641309302484,-4.118677146623283
