stem.0,fc_part31,fc_part8,fc_part12,fc_part23,fc_part13,fc_part2,fc_part25,fc_part27,fc_part7,fc_part3,fc_part29,fc_part30,fc_part11,fc_part24,fc_part17,fc_part22,fc_part0,fc_part5,fc_part15,fc_part10,fc_part20,fc_part16,fc_part14,fc_part1,fc_part19,fc_part28,fc_part21,fc_part18,fc_part26,fc_part4,fc_part9,fc_part6,layers.1.vss.1.in_proj,layers.0.vss.1.out_proj,layers.1.vss.1.out_proj,proj_conv,layers.0.vss.1.in_proj,layers.0.vss.1.conv2d,layers.1.vss.1.conv2d,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0.0,75.0,0.00011724473570705819,-15.33530945777893
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,80.0,80.00993556933823,2.2553222443326932,-15.330137538909913
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,8,8,80.5,80.5052086469561,2.5231030999771695,-15.32295536994934
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,81.0,81.16607454687782,2.829471830238321,-15.32893443107605
16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,81.5,81.55145420605768,3.0258883496203364,-15.328606653213502
16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,8,8,8,82.0,82.00156560486542,3.239089455410389,-15.32454948425293
16,16,16,16,16,16,16,16,16,16,16,8,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,82.5,82.70759318359728,3.6250421476209245,-15.32722897529602
16,16,16,16,16,16,16,16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,83.0,83.09297284277714,3.826063302328032,-15.326672792434692
16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,16,16,83.5,83.52652495935449,4.037324993405352,-15.328226041793823
16,16,16,16,16,16,16,8,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,84.0,84.00072258686096,4.363785963739046,-15.31983666419983
16,16,16,16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,84.5,84.6344914794966,4.663666118068051,-15.324697875976563
16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,85.0,85.01987113867646,4.875395421801287,-15.324280548095704
16,16,16,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,16,85.5,85.5015957126513,5.173835058250597,-15.322248363494873
16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,86.0,86.17601011621605,5.5362014395535235,-15.322805786132813
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,16,16,86.5,86.56138977539591,5.760867918896495,-15.322169542312622
16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,8,16,8,87.0,87.00171614379478,6.000065932794678,-15.321270275115968
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,87.5,87.5,7.77584778112924,-15.17590651512146
16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,8,4,4,16,8,8,16,8,16,16,88.0,88.00656349732041,143.5591163248596,-15.001420879364014
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,8,4,8,8,4,8,4,88.5,88.50296561690854,245.91669399514194,-13.89259672164917
16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,8,4,4,4,4,4,4,4,8,8,16,16,8,16,8,89.0,89.00087312579032,391.51934430093877,-14.497406768798829
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,4,8,4,4,4,4,4,4,4,4,4,4,4,8,4,8,4,89.5,89.5025441079063,544.8499864541055,-12.286226892471314
16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,4,90.0,90.00158065875836,655.3321590849255,-13.731149482727051
16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,16,16,8,8,8,90.5,90.50099355693382,821.5840495947226,-13.753773021697999
8,8,8,8,8,8,8,8,8,8,8,4,8,8,8,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,4,2,4,91.0,91.00097097609442,939.0202330169601,-9.052064609527587
16,8,8,8,8,8,8,8,8,8,8,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,16,16,8,16,8,91.5,91.50584091045944,1108.1162232308232,-13.320529556274414
8,8,8,8,8,8,8,4,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,4,2,4,92.0,92.00054946709218,1261.429409382504,-8.458162450790406
16,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,16,8,8,8,92.5,92.50015053892938,1409.9600379209385,-12.896577978134156
16,8,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,8,16,8,8,16,8,93.0,93.00219786836877,1599.628690615833,-12.662616109848022
8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,4,8,4,93.5,93.5008580718974,1734.2912576552092,-12.083851861953736
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,8,4,8,4,4,2,4,94.0,94.00121183838141,4618.678515179495,-7.3968757629394535
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,8,8,4,4,8,94.5,94.50043656289516,9423.181992810729,-6.71160843372345
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,4,95.0,95.00079032937919,14555.084503016134,-4.361687135696411
8,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,96.0,96.00036882037695,25666.68832468494,-1.9904740154743195
8,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,4,8,8,4,4,4,96.5,96.50298067080148,31857.355652965525,-2.101117122173309
